"pantalla","resolución","tipo","etiqueta accesible","texto visible","placeholder","deshabilitado","origen del texto","captura"
"tarjeta-ARZUA PRO-vacia","1280×720","combobox","Colocación","Elegir…","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","combobox","Tipo de pared","No indicada","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Añadir línea","Añadir línea","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","input","Obs. estructura, línea 1","","Escribe una observación","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Eliminar obs. estructura, línea 1","","","sí","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Añadir línea","Añadir línea","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","input","Observaciones de tela del pedido, línea 1","","Escribe una observación","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","button","Eliminar observaciones de tela del pedido, línea 1","","","sí","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","tab","Estructuras0","Estructuras0","","no","src/client/components/AwningColumn.tsx / OrderView.tsx","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
"tarjeta-ARZUA PRO-vacia","1280×720","tab","Telas0","Telas0","","no","src/client/components/AwningColumn.tsx + controlLabels.ts / modelBehavior.js","tmp/ui-audit/shots/ui-1280x720-tarjeta-arzua-pro-vacia.png"
